Distritos;Percentil;Total
0106301 Zuia distrito 01;Percentil 25 de consumo eléctrico en kwh;1.430
0106301 Zuia distrito 01;Percentil 50 de consumo eléctrico en kwh;2.396
0106301 Zuia distrito 01;Percentil 75 de consumo eléctrico en kwh;3.616
0106301 Zuia distrito 01;Percentil 90 de consumo eléctrico en kwh;5.289
0190101 IruñaOka/IruñadeOca distrito 01;Percentil 10 de consumo eléctrico en kwh;700
0190101 IruñaOka/IruñadeOca distrito 01;Percentil 25 de consumo eléctrico en kwh;1.344
0190101 IruñaOka/IruñadeOca distrito 01;Percentil 50 de consumo eléctrico en kwh;2.153
0190101 IruñaOka/IruñadeOca distrito 01;Percentil 75 de consumo eléctrico en kwh;3.087
0190101 IruñaOka/IruñadeOca distrito 01;Percentil 90 de consumo eléctrico en kwh;4.176
0200301 Albacete distrito 01 *;Percentil 10 de consumo eléctrico en kwh;733
0200301 Albacete distrito 01 *;Percentil 25 de consumo eléctrico en kwh;1.249
0200301 Albacete distrito 01 *;Percentil 50 de consumo eléctrico en kwh;1.955
0200301 Albacete distrito 01 *;Percentil 75 de consumo eléctrico en kwh;2.879
0200301 Albacete distrito 01 *;Percentil 90 de consumo eléctrico en kwh;4.068
0200302 Albacete distrito 02 *;Percentil 10 de consumo eléctrico en kwh;731
0200302 Albacete distrito 02 *;Percentil 25 de consumo eléctrico en kwh;1.278
0200302 Albacete distrito 02 *;Percentil 50 de consumo eléctrico en kwh;2.007
0200302 Albacete distrito 02 *;Percentil 75 de consumo eléctrico en kwh;2.878
0200302 Albacete distrito 02 *;Percentil 90 de consumo eléctrico en kwh;3.990
0200303 Albacete distrito 03 *;Percentil 10 de consumo eléctrico en kwh;709
0200303 Albacete distrito 03 *;Percentil 25 de consumo eléctrico en kwh;1.257
0200303 Albacete distrito 03 *;Percentil 50 de consumo eléctrico en kwh;2.017
0200303 Albacete distrito 03 *;Percentil 75 de consumo eléctrico en kwh;2.929
0200303 Albacete distrito 03 *;Percentil 90 de consumo eléctrico en kwh;4.181
0200304 Albacete distrito 04 *;Percentil 10 de consumo eléctrico en kwh;746
0200304 Albacete distrito 04 *;Percentil 25 de consumo eléctrico en kwh;1.297
0200304 Albacete distrito 04 *;Percentil 50 de consumo eléctrico en kwh;2.079
0200304 Albacete distrito 04 *;Percentil 75 de consumo eléctrico en kwh;2.977
0200304 Albacete distrito 04 *;Percentil 90 de consumo eléctrico en kwh;4.234
0200305 Albacete distrito 05 *;Percentil 10 de consumo eléctrico en kwh;762
0200305 Albacete distrito 05 *;Percentil 25 de consumo eléctrico en kwh;1.254
0200305 Albacete distrito 05 *;Percentil 50 de consumo eléctrico en kwh;1.969
0200305 Albacete distrito 05 *;Percentil 75 de consumo eléctrico en kwh;2.875
0200305 Albacete distrito 05 *;Percentil 90 de consumo eléctrico en kwh;4.134
0200306 Albacete distrito 06 *;Percentil 10 de consumo eléctrico en kwh;742
0200306 Albacete distrito 06 *;Percentil 25 de consumo eléctrico en kwh;1.251
0200306 Albacete distrito 06 *;Percentil 50 de consumo eléctrico en kwh;1.975
0200306 Albacete distrito 06 *;Percentil 75 de consumo eléctrico en kwh;2.959
0200306 Albacete distrito 06 *;Percentil 90 de consumo eléctrico en kwh;4.142
0200307 Albacete distrito 07 *;Percentil 10 de consumo eléctrico en kwh;704
0200307 Albacete distrito 07 *;Percentil 25 de consumo eléctrico en kwh;1.243
0200307 Albacete distrito 07 *;Percentil 50 de consumo eléctrico en kwh;1.993
0200307 Albacete distrito 07 *;Percentil 75 de consumo eléctrico en kwh;2.968
0200307 Albacete distrito 07 *;Percentil 90 de consumo eléctrico en kwh;4.146
0200308 Albacete distrito 08 *;Percentil 10 de consumo eléctrico en kwh;593
0200308 Albacete distrito 08 *;Percentil 25 de consumo eléctrico en kwh;1.158
0200308 Albacete distrito 08 *;Percentil 50 de consumo eléctrico en kwh;2.345
0200308 Albacete distrito 08 *;Percentil 75 de consumo eléctrico en kwh;3.669
0200308 Albacete distrito 08 *;Percentil 90 de consumo eléctrico en kwh;5.457
0200701 AlcaládelJúcar distrito 01;Percentil 10 de consumo eléctrico en kwh;404
0200701 AlcaládelJúcar distrito 01;Percentil 25 de consumo eléctrico en kwh;737
0200701 AlcaládelJúcar distrito 01;Percentil 50 de consumo eléctrico en kwh;1.575
0200701 AlcaládelJúcar distrito 01;Percentil 75 de consumo eléctrico en kwh;2.922
0200701 AlcaládelJúcar distrito 01;Percentil 90 de consumo eléctrico en kwh;5.014
0200801 Alcaraz distrito 01;Percentil 10 de consumo eléctrico en kwh;437
0200801 Alcaraz distrito 01;Percentil 25 de consumo eléctrico en kwh;736
0200801 Alcaraz distrito 01;Percentil 50 de consumo eléctrico en kwh;1.629
0200801 Alcaraz distrito 01;Percentil 75 de consumo eléctrico en kwh;3.153
0200801 Alcaraz distrito 01;Percentil 90 de consumo eléctrico en kwh;5.247
0200901 Almansa distrito 01;Percentil 10 de consumo eléctrico en kwh;695
0200901 Almansa distrito 01;Percentil 25 de consumo eléctrico en kwh;1.379
0200901 Almansa distrito 01;Percentil 50 de consumo eléctrico en kwh;2.252
0200901 Almansa distrito 01;Percentil 75 de consumo eléctrico en kwh;3.520
0200901 Almansa distrito 01;Percentil 90 de consumo eléctrico en kwh;5.377
0200902 Almansa distrito 02;Percentil 10 de consumo eléctrico en kwh;725
0200902 Almansa distrito 02;Percentil 25 de consumo eléctrico en kwh;1.352
0200902 Almansa distrito 02;Percentil 50 de consumo eléctrico en kwh;2.188
0200902 Almansa distrito 02;Percentil 75 de consumo eléctrico en kwh;3.312
0200902 Almansa distrito 02;Percentil 90 de consumo eléctrico en kwh;4.718
0200903 Almansa distrito 03;Percentil 10 de consumo eléctrico en kwh;778
0200903 Almansa distrito 03;Percentil 25 de consumo eléctrico en kwh;1.417
0200903 Almansa distrito 03;Percentil 50 de consumo eléctrico en kwh;2.304
0200903 Almansa distrito 03;Percentil 75 de consumo eléctrico en kwh;3.509
0200903 Almansa distrito 03;Percentil 90 de consumo eléctrico en kwh;5.330
0200904 Almansa distrito 04;Percentil 10 de consumo eléctrico en kwh;683
0200904 Almansa distrito 04;Percentil 25 de consumo eléctrico en kwh;1.272
0200904 Almansa distrito 04;Percentil 50 de consumo eléctrico en kwh;2.242
0200904 Almansa distrito 04;Percentil 75 de consumo eléctrico en kwh;3.504
0200904 Almansa distrito 04;Percentil 90 de consumo eléctrico en kwh;5.512
0201001 Alpera distrito 01;Percentil 10 de consumo eléctrico en kwh;533
0201001 Alpera distrito 01;Percentil 25 de consumo eléctrico en kwh;1.102
0201001 Alpera distrito 01;Percentil 50 de consumo eléctrico en kwh;2.203
0201001 Alpera distrito 01;Percentil 75 de consumo eléctrico en kwh;3.575
0201001 Alpera distrito 01;Percentil 90 de consumo eléctrico en kwh;5.401
0201002 Alpera distrito 02;Percentil 10 de consumo eléctrico en kwh;562
0201002 Alpera distrito 02;Percentil 25 de consumo eléctrico en kwh;996
0201002 Alpera distrito 02;Percentil 50 de consumo eléctrico en kwh;2.042
0201002 Alpera distrito 02;Percentil 75 de consumo eléctrico en kwh;3.078
0201002 Alpera distrito 02;Percentil 90 de consumo eléctrico en kwh;4.270
