Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Municipios;Consumo eléctrico;Total
Total Nacional;01 Andalucía;14 Córdoba;14043 Montoro;Viviendas totales;5.828
Total Nacional;01 Andalucía;14 Córdoba;14044 Monturque;Viviendas totales;1.006
Total Nacional;01 Andalucía;14 Córdoba;14045 Moriles;Viviendas totales;2.058
Total Nacional;01 Andalucía;14 Córdoba;14046 Nueva Carteya;Viviendas totales;2.681
Total Nacional;01 Andalucía;14 Córdoba;14047 Obejo;Viviendas totales;1.373
Total Nacional;01 Andalucía;14 Córdoba;14048 Palenciana;Viviendas totales;835
Total Nacional;01 Andalucía;14 Córdoba;14049 Palma del Río;Viviendas totales;10.008
Total Nacional;01 Andalucía;14 Córdoba;14050 Pedro Abad;Viviendas totales;1.562
Total Nacional;01 Andalucía;14 Córdoba;14051 Pedroche;Viviendas totales;1.127
Total Nacional;01 Andalucía;14 Córdoba;14052 Peñarroya-Pueblonuevo;Viviendas totales;6.199
Total Nacional;01 Andalucía;14 Córdoba;14053 Posadas;Viviendas totales;4.028
Total Nacional;01 Andalucía;14 Córdoba;14054 Pozoblanco;Viviendas totales;9.979
Total Nacional;01 Andalucía;14 Córdoba;14055 Priego de Córdoba;Viviendas totales;13.476
Total Nacional;01 Andalucía;14 Córdoba;14056 Puente Genil;Viviendas totales;14.955
Total Nacional;01 Andalucía;14 Córdoba;14057 Rambla, La;Viviendas totales;3.741
Total Nacional;01 Andalucía;14 Córdoba;14058 Rute;Viviendas totales;5.819
Total Nacional;01 Andalucía;14 Córdoba;14060 Santaella;Viviendas totales;2.354
Total Nacional;01 Andalucía;14 Córdoba;14062 Torrecampo;Viviendas totales;1.123
Total Nacional;01 Andalucía;14 Córdoba;14063 Valenzuela;Viviendas totales;912
Total Nacional;01 Andalucía;14 Córdoba;14065 Victoria, La;Viviendas totales;1.259
Total Nacional;01 Andalucía;14 Córdoba;14066 Villa del Río;Viviendas totales;3.179
Total Nacional;01 Andalucía;14 Córdoba;14067 Villafranca de Córdoba;Viviendas totales;2.477
Total Nacional;01 Andalucía;14 Córdoba;14069 Villanueva de Córdoba;Viviendas totales;5.830
Total Nacional;01 Andalucía;14 Córdoba;14070 Villanueva del Duque;Viviendas totales;1.370
Total Nacional;01 Andalucía;14 Córdoba;14071 Villanueva del Rey;Viviendas totales;1.092
Total Nacional;01 Andalucía;14 Córdoba;14072 Villaralto;Viviendas totales;1.019
Total Nacional;01 Andalucía;14 Córdoba;14073 Villaviciosa de Córdoba;Viviendas totales;2.854
Total Nacional;01 Andalucía;14 Córdoba;14074 Viso, El;Viviendas totales;1.921
Total Nacional;01 Andalucía;14 Córdoba;14901 Fuente Carreteros;Viviendas totales;589
Total Nacional;01 Andalucía;14 Córdoba;14902 Guijarrosa, La;Viviendas totales;669
Total Nacional;01 Andalucía;14 Córdoba;14999 Resto de Córdoba;Viviendas totales;5.107
Total Nacional;01 Andalucía;18 Granada;;Viviendas totales;573.692
Total Nacional;01 Andalucía;18 Granada;18003 Albolote;Viviendas totales;9.477
Total Nacional;01 Andalucía;18 Granada;18006 Albuñol;Viviendas totales;3.706
Total Nacional;01 Andalucía;18 Granada;18011 Alfacar;Viviendas totales;3.105
Total Nacional;01 Andalucía;18 Granada;18012 Algarinejo;Viviendas totales;2.148
Total Nacional;01 Andalucía;18 Granada;18013 Alhama de Granada;Viviendas totales;3.758
Total Nacional;01 Andalucía;18 Granada;18014 Alhendín;Viviendas totales;4.948
Total Nacional;01 Andalucía;18 Granada;18017 Almuñécar;Viviendas totales;29.769
Total Nacional;01 Andalucía;18 Granada;18021 Armilla;Viviendas totales;11.389
Total Nacional;01 Andalucía;18 Granada;18022 Atarfe;Viviendas totales;10.234
Total Nacional;01 Andalucía;18 Granada;18023 Baza;Viviendas totales;11.471
Total Nacional;01 Andalucía;18 Granada;18027 Benalúa;Viviendas totales;1.825
Total Nacional;01 Andalucía;18 Granada;18028 Benalúa de las Villas;Viviendas totales;734
Total Nacional;01 Andalucía;18 Granada;18029 Benamaurel;Viviendas totales;1.615
Total Nacional;01 Andalucía;18 Granada;18035 Cádiar;Viviendas totales;1.260
Total Nacional;01 Andalucía;18 Granada;18036 Cájar;Viviendas totales;2.431
Total Nacional;01 Andalucía;18 Granada;18038 Campotéjar;Viviendas totales;845
Total Nacional;01 Andalucía;18 Granada;18039 Caniles;Viviendas totales;2.448
Total Nacional;01 Andalucía;18 Granada;18045 Castilléjar;Viviendas totales;1.390
Total Nacional;01 Andalucía;18 Granada;18046 Castril;Viviendas totales;1.614
Total Nacional;01 Andalucía;18 Granada;18047 Cenes de la Vega;Viviendas totales;4.176
Total Nacional;01 Andalucía;18 Granada;18048 Cijuela;Viviendas totales;1.951
Total Nacional;01 Andalucía;18 Granada;18050 Cogollos de la Vega;Viviendas totales;1.375
Total Nacional;01 Andalucía;18 Granada;18051 Colomera;Viviendas totales;981
Total Nacional;01 Andalucía;18 Granada;18053 Cortes de Baza;Viviendas totales;1.561
Total Nacional;01 Andalucía;18 Granada;18056 Cúllar;Viviendas totales;2.773
Total Nacional;01 Andalucía;18 Granada;18057 Cúllar Vega;Viviendas totales;3.199
Total Nacional;01 Andalucía;18 Granada;18059 Chauchina;Viviendas totales;2.763
Total Nacional;01 Andalucía;18 Granada;18061 Chimeneas;Viviendas totales;863
Total Nacional;01 Andalucía;18 Granada;18062 Churriana de la Vega;Viviendas totales;7.748
Total Nacional;01 Andalucía;18 Granada;18063 Darro;Viviendas totales;907
