CUSEC,CUMUN,CSEC,CDIS,CMUN,CPRO,CCA,CUDIS,CLAU2,NPRO,NCA,CNUT0,CNUT1,CNUT2,CNUT3,NMUN,airbnb_listings,airbnb_entire_homes,airbnb_price_median,airbnb_accommodates_total,airbnb_revenue_total,airbnb_hosts_unicos,airbnb_con_licencia,isla,fuente,granularidad,hut_registros,hut_plazas,hut_habitaciones,viviendas_vacias_pct_ccaa,viviendas_uso_esporadico_pct_ccaa,viviendas_turisticas_pct_ccaa_2025M05,plazas_turisticas
0701103006,07011,006,03,011,07,04,0701103,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,28,28,1597.67,238,730290,24,28,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,238
0701104001,07011,001,04,011,07,04,0701104,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0701104002,07011,002,04,011,07,04,0701104,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,1,1,3573.0,5,64314,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,5
0701104003,07011,003,04,011,07,04,0701104,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,29,29,551.9,198,968816,25,29,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,198
0701104004,07011,004,04,011,07,04,0701104,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,5,5,455.33,31,81653,5,5,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,31
0701105001,07011,001,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,0,0,,0,0,0,0,Mallorca,shapefile INE 2025 (sin datos de turismo),seccion_censal,0,0,0,16.2,6.9,3.74,0
0701105002,07011,002,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,8,7,291.42,49,222083,7,8,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,49
0701105003,07011,003,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,7,2,179.0,17,61254,2,7,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,17
0701105004,07011,004,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,33,33,1255.57,262,455589,22,33,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,262
0701105005,07011,005,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,14,14,194.215,72,193087,8,14,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,72
0701105006,07011,006,05,011,07,04,0701105,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,22,22,728.0,141,713358,18,22,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,141
0701106001,07011,001,06,011,07,04,0701106,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,32,16,120.0,91,448250,12,32,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,91
0701106002,07011,002,06,011,07,04,0701106,07011,"Balears, Illes",Illes Balears,ES,5,3,2,Calvià,12,12,384.0,72,302641,9,12,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,72
0701201001,07012,001,01,012,07,04,0701201,07012,"Balears, Illes",Illes Balears,ES,5,3,2,Campanet,97,93,408.5,574,1149112,58,97,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,574
0701202001,07012,001,02,012,07,04,0701202,07012,"Balears, Illes",Illes Balears,ES,5,3,2,Campanet,48,48,446.0,305,439303,36,47,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,305
0701301001,07013,001,01,013,07,04,0701301,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,3,3,542.8,18,88696,3,3,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,18
0701301002,07013,002,01,013,07,04,0701301,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,120,120,510.4,951,837967,67,119,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,951
0701302001,07013,001,02,013,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,1,1,241.67,2,17400,1,1,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2
0701302002,07013,002,02,013,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,371,368,415.625,2338,4891519,202,371,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2338
0701302003,07013,003,02,013,07,04,0701302,07013,"Balears, Illes",Illes Balears,ES,5,3,2,Campos,6,6,296.66499999999996,31,107537,6,6,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,31
0701401001,07014,001,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,196,183,365.8,991,1347972,89,196,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,991
0701401002,07014,002,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,87,75,507.2,477,318551,51,87,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,477
0701401003,07014,003,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,69,68,419.5,433,665375,55,69,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,433
0701401004,07014,004,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,95,82,465.0,411,872420,46,94,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,411
0701401005,07014,005,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,19,16,157.025,92,113573,16,19,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,92
0701401006,07014,006,01,014,07,04,0701401,07014,"Balears, Illes",Illes Balears,ES,5,3,2,Capdepera,52,49,245.5,232,387963,28,52,Mallorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,232
0701501001,07015,001,01,015,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,15,10,366.33,68,281347,12,14,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,68
0701501002,07015,002,01,015,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,12,7,233.66500000000002,58,119710,6,11,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,58
0701501003,07015,003,01,015,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,4,0,250.0,9,0,1,4,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,9
0701501004,07015,004,01,015,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,95,94,349.14,550,1191637,60,89,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,550
0701501005,07015,005,01,015,07,04,0701501,07015,"Balears, Illes",Illes Balears,ES,5,3,3,Ciutadella de Menorca,427,411,286.0,2111,5798278,165,412,Menorca,Inside Airbnb 2026-06,seccion_censal,0,0,0,16.2,6.9,3.74,2111
