CDIS,consumo_p10_kwh,consumo_p25_kwh,consumo_p50_kwh,consumo_p75_kwh,consumo_p90_kwh,ratio_p10_p50,ratio_p25_p50,ratio_p90_p50,rango_p10_p90,gap_bajo_consumo_pct,airbnb_listings,airbnb_entire_homes,CMUN,NMUN,viviendas_totales,airbnb_per_1000_viv
0704003,1058.0,168.0,2576.0,3786.0,5338.0,0.4107142857142857,0.06521739130434782,2.0722049689440993,4280.0,58.92857142857143,77.0,70.0,07040,Palma,186482,0.4129084844649886
0704004,1039.0,1681.0,2595.0,3808.0,5281.0,0.4003853564547206,0.6477842003853564,2.0350674373795763,4242.0,59.96146435452794,149.0,119.0,07040,Palma,186482,0.7990047296790038
0704005,882.0,1582.0,2608.0,4012.0,5785.0,0.33819018404907975,0.6065950920245399,2.2181748466257667,4903.0,66.18098159509202,146.0,125.0,07040,Palma,186482,0.7829173861284199
0704101,849.0,1476.0,2962.0,4724.0,6919.0,0.28663065496286294,0.49831195138419987,2.335921674544227,6070.0,71.3369345037137,89.0,83.0,07041,Petra,2118,42.020774315391876
0704102,871.0,1786.0,3124.0,5094.0,7537.0,0.278809218950064,0.5717029449423816,2.4126120358514727,6666.0,72.1190781049936,81.0,79.0,07041,Petra,2118,38.243626062322946
0704201,999.0,2011.0,3456.0,532.0,7672.0,0.2890625,0.5818865740740741,2.2199074074074074,6673.0,71.09375,217.0,213.0,07042,Pollença,13772,15.756607609642751
0704202,819.0,1778.0,3356.0,5307.0,7727.0,0.24404052443384983,0.5297973778307509,2.3024433849821215,6908.0,75.59594755661502,507.0,500.0,07042,Pollença,13772,36.8138251524833
0704203,622.0,1274.0,2684.0,4686.0,6858.0,0.23174366616989567,0.47466467958271236,2.555141579731744,6236.0,76.82563338301043,1239.0,1232.0,07042,Pollença,13772,89.96514667441186
0704204,1029.0,217.0,369.0,5392.0,7863.0,2.7886178861788617,0.5880758807588076,21.308943089430894,6834.0,-178.86178861788616,290.0,281.0,07042,Pollença,13772,21.057217542840547
0704401,928.0,2035.0,3502.0,5166.0,6988.0,0.26499143346659054,0.5810965162764135,1.9954311821816104,6060.0,73.50085665334095,7.0,7.0,07044,"Pobla, Sa",6504,1.076260762607626
